nft_name,nft_id,owner_name,owner_DID,owner_address
Proof of Synth and Time #9,nft10n6lpp0grf300szd5rlc4jang440vw6gzahzwg0hudnad8vavmmqpqp5na,andthemachine,did:chia:1cjknx7chwj58nyd0wkf0wv7545yslu7zkqnx8nv4mvjf7l0v3ycsd6hk4d,xch1p7egkcr0teafh5yjrjqm3mfhwt2y6zwttugpltuxvzkq0pmsy8ss6uwvgf
Proof of Synth and Time #3,nft1ck2v9n4guplwfyl9hu029mysn5rnrp5p3qdqe9zjk28pjwan9q5qwqrckm,Unclaimed DID,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch1xdacduwkwrw6ztm4ssf867d7nklgmvy77uakgk4ppm69w0473a5sn74phl
Proof of Synth and Time #105,nft1vtn6xts6vc0ys4dpkf43yjqht2wvr0vas3cyhtkspuws2kf2fyds9zx95n,Unclaimed DID,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch14t56zjrfm37hgqvcwepc52pa9670j8sy0t26r5l9a6ah7f3gq0dsch3ntt
Proof of Synth and Time #296,nft18lz0c7mg6jagydnacwgypxazsmqdr5xn8k5kjrfu5q5u76lvyvfqcmdsuz,Unclaimed DID,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch1gjdkqc2glrqzat58z4f6tgcrk22slw9f880jfh0lzny5p3gjtrzqq5cg02
Retro-EVO POSAT #73,nft123pg2fxy3q4gf7qyp9f50xvkulyw060ru9rp0mwf9rrsyzvzgyuqff2vsn,Unclaimed DID,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch167wxq277tm4qvh7f8ncjw9dcjgq0zarpcgh6vgw3wur55g94505q2nlstv
Retro-EVO POSAT #2,nft1vjuwaruaff8advepa3r2j23cq3qgpdvzctuut0mnqe6trwcr7smq0sad8z,Unclaimed DID,did:chia:1e8j2uph34glvzmjrt7uefwtxqdud97n058ac4dl2sc68phpssw5sqagkw8,xch1ru0vcqfy39hlte2lw9sxpnu7hd7kjwg3rgw6gg5vpz9ae892r2mqelcj4r
Proof of Synth and Time #36,nft1wn7hzukkulntgnjl9mh7hj9ngc6u5n3felxxxzvz6n97zynzf2usn700pj,Pimpuli,did:chia:1eg8r9mm7lngq8ha8aw2ls4mkmhduqqrc32d99kt9wv7es5hgukxqxharde,xch1j4k9nte0da72wfs4uvzmsvj8vlqdkv2rz3l3j2x7fhf48ztwdcgsl0pvaw
Retro-EVO POSAT #211,nft1m8rh2jvdfx6t94z9yff567der2uqndsqag7f27sz6p8n79fuxcuqgwtnkv,Unclaimed DID,did:chia:1fznzsqmefn3vhs0z9eu52wjz0cjyeuadux8lus2vmr9tjp2f6fdqk3t6d8,xch1xtpq9zz7jl3wyuwf9m60jac4me2hk68ypks7k82wpm94swmy9qlq9mjxl9
Retro-EVO POSAT #149,nft16q7cnf8s9fznnn9jfesnet2u6pn8dswkg3nvsr3e5trs0uvl54hqcv639g,Unclaimed DID,did:chia:1fznzsqmefn3vhs0z9eu52wjz0cjyeuadux8lus2vmr9tjp2f6fdqk3t6d8,xch1yvun2sj4fn0fw7lstxvn5kr8jmkj7mzxns4qjrxe8nlf8wvgwuts4y3g0l
Retro-EVO POSAT #6,nft15tz9m69k3zvyacjq476cu9vr0xtddham2436s5n2ln7gzat7xq9s8lp23m,Unclaimed DID,did:chia:1fznzsqmefn3vhs0z9eu52wjz0cjyeuadux8lus2vmr9tjp2f6fdqk3t6d8,xch12g34ugs5a8jyrz6uskcnd08e87qgs4vu628964s5cjqefcefaqhq0xpd6s
