nft_name,nft_id,owner_address
Proof of Synth and Time #197,nft1fej6vkyk4dl840rc6yjhd05nwcr5sfp84z6qu7aecwam2k68rz7seda9yd,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #191,nft1ukm5z0ne4lt6ajjq2dtrtfqpmgymwvusgvcqc47w00jvf4lpu6ds4z6v9m,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #190,nft1zs3fh497ezpvnw6dd9mrfsjk89qcntadgg6sq667hyxk0ehkvzksffa3ey,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #187,nft1sxurt5np2x4theg98lxpvstxvfdcxj2x96tp5rzsq9w08srvgnzsjtw07g,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #186,nft12swc69y0vcjm4r5s056gmq4e4unstzy6rrtc6vyh73gw7drqam0sa9t6j0,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #183,nft1dx7n0f9mlgsrvvczd4jjda6lukydyf29mchuu6pgzvpjl70hqzzq9tsj5c,xch1htys893y9h2tjkgk5vguce7pycvq5vwcv9hncuk8tck7uhygl27svxkhnh
Proof of Synth and Time #179,nft1fm3fxmjkqweaq74msnv09d5x79nlzhq4e79hhyvnrc940u5thpxqmfhzl9,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #177,nft13lc86h84qlz7rgpwgvj7ph0946ec7ee3zrwtnw2r76uh809yq0msp00rd9,xch1hj6m7u9hkx2plysdfj69rn8vg2pv7k5fy8ghqrfejxe6d5797wnqcgdaz4
Proof of Synth and Time #220,nft1nc8c6ngtqrhzpe5vu0rdq9pk03ra9y0l6fahvrnsfzz8qh3msgtsvwss0s,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #217,nft1n2jqaugfwavmzegdren2cq5meqt76p2yep05fmrxvhmhm45g3dhsevr0x0,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #212,nft1wat5xgqmz2y8578kgaaa6wvpytkejrxnr4qu9vrzxdz46xp248zq3zkg5z,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #210,nft1dlw0ql42nv24l222vmn8d5cgf895d49l6088fe7zqz5xevt9y5us3up799,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #209,nft12yp806xlfaa58p9g7s6sdum9qxmnayfa34uu6qxgg7kn8f74099q3s4af0,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #208,nft1u4vz2pmzvgas9g8rt45yd4jkkdxxmwtcvkzhn60z7cxlue9w8mqql90n5c,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #207,nft192w08fdx6r4uq7g2ldfpps9dvlp76hzk2ja6x48xmujx326kpz8sr4y3qt,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #204,nft17r6lpsetc6qxm95xtt9tcwladaxltws872nsjphhycgn5ttucvlqcjleeg,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #202,nft1c90hdd5jw6l0ltdj0p8jx2jqvfdrftajynggj6wny96j8ywtq76snxtncj,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #201,nft1vlzcgz9xn53ld57yeft0tpglx4ew8mwpwltjevx6dh8px9u9l2hqcgj4sp,xch12uuv3hqjmqnhl9aegqnrxq49xypmmg5ramugx5zh7za88zu6v77qnwvm4x
Proof of Synth and Time #250,nft1sgctecn3njj9qrnc0u5jvmvsxnhlm0szwpxl9lgqrea99r50jalqvx0jfm,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #247,nft1rtx6hrdjxkna8n9c9grqywh8tjxx7elcp8w99sdqdftyfvvz9kks4jt4zt,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #244,nft1294gv8qny7jw4ps3hdtl35cupk7v42ruvdm35avg90kn5e2qazdqyy03qe,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #240,nft1t8shnrkjxczglghm6uy2hj4mdwcfmvv83muwce94az7ym2zzuwtqsnd0zz,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #239,nft13lhl6n87s7tyrsddpsurwfhrynvz820lg8c3ehlht4x5uvau2urqrttvsx,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #237,nft1uws47rc57xnwdd6ym4sf957k47dkgd4m4pffdqg9fr3jn6ynq7rq0wmxtk,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #236,nft18rlakep6z60vs5c348gkhn5hgxnysk282hx3f4776n4rs45sxt0q9uxt5q,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #235,nft1eqsutcdtkcm9rkavr2fuj7843dx9rne24c9paw7sswxu0ynzk6kq9q845x,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #234,nft1gct942v6g6enp0ukgdv9cj23xwntdz9gqhve6jgf88c0swt94nhsarrg40,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #231,nft1g7cnsesnpfqxmrqf59v35d4fv2u9dmc5hxcm6499jkdp3jta4y2sf8dehm,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #229,nft13jrpsp4a4cq8f6q6f0s222sc9z5akwqgcqpk25878vaw8jj0d0aql58nkv,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
Proof of Synth and Time #228,nft193dcw5hqhvxnxy8yn6jna4xx0vqwgu54fecapv2q4g7ta9unstuqfgem8m,xch1626pqx3jwfxr6xryv8vxys7m5nmv273rwkapvdvkawalnxhcxdrsmcjwzj
